date, rr, since start
2025-03-19 10:17:00 +0000, 864, 0
2025-03-19 10:17:00 +0000, 891, 864
2025-03-19 10:17:01 +0000, 888, 1755
2025-03-19 10:17:02 +0000, 893, 2643
2025-03-19 10:17:03 +0000, 858, 3536
2025-03-19 10:17:04 +0000, 845, 4394
2025-03-19 10:17:05 +0000, 881, 5239
2025-03-19 10:17:06 +0000, 843, 6120
2025-03-19 10:17:06 +0000, 815, 6963
2025-03-19 10:17:07 +0000, 840, 7778
2025-03-19 10:17:08 +0000, 859, 8618
2025-03-19 10:17:09 +0000, 893, 9477
2025-03-19 10:17:10 +0000, 864, 10370
2025-03-19 10:17:11 +0000, 858, 11234
2025-03-19 10:17:12 +0000, 894, 12092
2025-03-19 10:17:12 +0000, 889, 12986
2025-03-19 10:17:13 +0000, 898, 13875
2025-03-19 10:17:14 +0000, 847, 14773
2025-03-19 10:17:15 +0000, 843, 15620
2025-03-19 10:17:16 +0000, 863, 16463
2025-03-19 10:17:17 +0000, 847, 17326
2025-03-19 10:17:18 +0000, 847, 18173
2025-03-19 10:17:19 +0000, 827, 19020
2025-03-19 10:17:19 +0000, 866, 19847
2025-03-19 10:17:20 +0000, 910, 20713
2025-03-19 10:17:21 +0000, 882, 21623
2025-03-19 10:17:22 +0000, 881, 22505
2025-03-19 10:17:23 +0000, 873, 23386
2025-03-19 10:17:24 +0000, 900, 24259
2025-03-19 10:17:25 +0000, 892, 25159
2025-03-19 10:17:26 +0000, 859, 26051
2025-03-19 10:17:26 +0000, 831, 26910
2025-03-19 10:17:27 +0000, 825, 27741
2025-03-19 10:17:28 +0000, 841, 28566
2025-03-19 10:17:29 +0000, 871, 29407
2025-03-19 10:17:30 +0000, 864, 30278
2025-03-19 10:17:31 +0000, 861, 31142
2025-03-19 10:17:32 +0000, 868, 32003
2025-03-19 10:17:32 +0000, 897, 32871
2025-03-19 10:17:33 +0000, 876, 33768
2025-03-19 10:17:34 +0000, 838, 34644
2025-03-19 10:17:35 +0000, 845, 35482
2025-03-19 10:17:36 +0000, 880, 36327
2025-03-19 10:17:37 +0000, 877, 37207
2025-03-19 10:17:38 +0000, 838, 38084
2025-03-19 10:17:38 +0000, 831, 38922
2025-03-19 10:17:39 +0000, 862, 39753
2025-03-19 10:17:40 +0000, 902, 40615
2025-03-19 10:17:41 +0000, 909, 41517
2025-03-19 10:17:42 +0000, 872, 42426
2025-03-19 10:17:43 +0000, 902, 43298
2025-03-19 10:17:44 +0000, 892, 44200
2025-03-19 10:17:45 +0000, 893, 45092
2025-03-19 10:17:45 +0000, 849, 45985
2025-03-19 10:17:46 +0000, 852, 46834
2025-03-19 10:17:47 +0000, 832, 47686
2025-03-19 10:17:48 +0000, 895, 48518
2025-03-19 10:17:49 +0000, 875, 49413
2025-03-19 10:17:50 +0000, 880, 50288
2025-03-19 10:17:51 +0000, 873, 51168
2025-03-19 10:17:52 +0000, 881, 52041
2025-03-19 10:17:52 +0000, 902, 52922
2025-03-19 10:17:53 +0000, 881, 53824
2025-03-19 10:17:54 +0000, 884, 54705
2025-03-19 10:17:55 +0000, 865, 55589
2025-03-19 10:17:56 +0000, 868, 56454
2025-03-19 10:17:57 +0000, 871, 57322
2025-03-19 10:17:58 +0000, 860, 58193
2025-03-19 10:17:59 +0000, 839, 59053
2025-03-19 10:17:59 +0000, 886, 59892
2025-03-19 10:18:00 +0000, 916, 60778
2025-03-19 10:18:01 +0000, 888, 61694
2025-03-19 10:18:02 +0000, 869, 62582
2025-03-19 10:18:03 +0000, 896, 63451
2025-03-19 10:18:04 +0000, 891, 64347
2025-03-19 10:18:05 +0000, 917, 65238
2025-03-19 10:18:06 +0000, 839, 66155
2025-03-19 10:18:06 +0000, 820, 66994
2025-03-19 10:18:07 +0000, 823, 67814
2025-03-19 10:18:08 +0000, 873, 68637
2025-03-19 10:18:09 +0000, 858, 69510
2025-03-19 10:18:10 +0000, 873, 70368
2025-03-19 10:18:11 +0000, 886, 71241
2025-03-19 10:18:12 +0000, 898, 72127
2025-03-19 10:18:13 +0000, 922, 73025
2025-03-19 10:18:13 +0000, 880, 73947
2025-03-19 10:18:14 +0000, 878, 74827
2025-03-19 10:18:15 +0000, 861, 75705
2025-03-19 10:18:16 +0000, 875, 76566
2025-03-19 10:18:17 +0000, 878, 77441
2025-03-19 10:18:18 +0000, 859, 78319
2025-03-19 10:18:19 +0000, 861, 79178
2025-03-19 10:18:20 +0000, 870, 80039
2025-03-19 10:18:20 +0000, 906, 80909
2025-03-19 10:18:21 +0000, 885, 81815
2025-03-19 10:18:22 +0000, 904, 82700
2025-03-19 10:18:23 +0000, 892, 83604
2025-03-19 10:18:24 +0000, 910, 84496
2025-03-19 10:18:25 +0000, 887, 85406
2025-03-19 10:18:26 +0000, 854, 86293
2025-03-19 10:18:27 +0000, 853, 87147
2025-03-19 10:18:28 +0000, 883, 88000
2025-03-19 10:18:28 +0000, 911, 88883
2025-03-19 10:18:29 +0000, 906, 89794
2025-03-19 10:18:30 +0000, 882, 90700
2025-03-19 10:18:31 +0000, 899, 91582
2025-03-19 10:18:32 +0000, 914, 92481
2025-03-19 10:18:33 +0000, 929, 93395
2025-03-19 10:18:34 +0000, 885, 94324
2025-03-19 10:18:35 +0000, 858, 95209
2025-03-19 10:18:36 +0000, 847, 96067
2025-03-19 10:18:36 +0000, 835, 96914
2025-03-19 10:18:37 +0000, 874, 97749
2025-03-19 10:18:38 +0000, 849, 98623
2025-03-19 10:18:39 +0000, 896, 99472
2025-03-19 10:18:40 +0000, 881, 100368
2025-03-19 10:18:41 +0000, 927, 101249
2025-03-19 10:18:42 +0000, 884, 102176
2025-03-19 10:18:43 +0000, 914, 103060
2025-03-19 10:18:43 +0000, 895, 103974
2025-03-19 10:18:44 +0000, 906, 104869
2025-03-19 10:18:45 +0000, 892, 105775
2025-03-19 10:18:46 +0000, 862, 106667
2025-03-19 10:18:47 +0000, 882, 107529
2025-03-19 10:18:48 +0000, 879, 108411
2025-03-19 10:18:49 +0000, 884, 109290
2025-03-19 10:18:50 +0000, 883, 110174
2025-03-19 10:18:51 +0000, 894, 111057
2025-03-19 10:18:51 +0000, 903, 111951
2025-03-19 10:18:52 +0000, 917, 112854
2025-03-19 10:18:53 +0000, 888, 113771
2025-03-19 10:18:54 +0000, 900, 114659
2025-03-19 10:18:55 +0000, 855, 115559
2025-03-19 10:18:56 +0000, 891, 116414
2025-03-19 10:18:57 +0000, 888, 117305
2025-03-19 10:18:58 +0000, 842, 118193
2025-03-19 10:18:59 +0000, 879, 119035
2025-03-19 10:18:59 +0000, 905, 119914
2025-03-19 10:19:00 +0000, 927, 120819
2025-03-19 10:19:01 +0000, 901, 121746
2025-03-19 10:19:02 +0000, 887, 122647
2025-03-19 10:19:03 +0000, 918, 123534
2025-03-19 10:19:04 +0000, 907, 124452
2025-03-19 10:19:05 +0000, 868, 125359
2025-03-19 10:19:06 +0000, 872, 126227
2025-03-19 10:19:07 +0000, 848, 127099
2025-03-19 10:19:07 +0000, 887, 127947
2025-03-19 10:19:08 +0000, 883, 128834
2025-03-19 10:19:09 +0000, 880, 129717
2025-03-19 10:19:10 +0000, 886, 130597
2025-03-19 10:19:11 +0000, 861, 131483
2025-03-19 10:19:12 +0000, 933, 132344
2025-03-19 10:19:13 +0000, 907, 133277
2025-03-19 10:19:14 +0000, 879, 134184
2025-03-19 10:19:15 +0000, 875, 135063
2025-03-19 10:19:15 +0000, 881, 135938
2025-03-19 10:19:16 +0000, 908, 136819
2025-03-19 10:19:17 +0000, 859, 137727
2025-03-19 10:19:18 +0000, 834, 138586
2025-03-19 10:19:19 +0000, 862, 139420
2025-03-19 10:19:20 +0000, 904, 140282
2025-03-19 10:19:21 +0000, 935, 141186
2025-03-19 10:19:22 +0000, 904, 142121
2025-03-19 10:19:23 +0000, 883, 143025
2025-03-19 10:19:23 +0000, 900, 143908
2025-03-19 10:19:24 +0000, 907, 144808
2025-03-19 10:19:25 +0000, 898, 145715
2025-03-19 10:19:26 +0000, 885, 146613
2025-03-19 10:19:27 +0000, 877, 147498
2025-03-19 10:19:28 +0000, 851, 148375
2025-03-19 10:19:29 +0000, 891, 149226
2025-03-19 10:19:30 +0000, 900, 150117
2025-03-19 10:19:31 +0000, 893, 151017
