date, rr, since start
2025-03-20 11:24:00 +0000, 660, 0
2025-03-20 11:24:00 +0000, 669, 660
2025-03-20 11:24:01 +0000, 699, 1329
2025-03-20 11:24:02 +0000, 649, 2028
2025-03-20 11:24:02 +0000, 645, 2677
2025-03-20 11:24:03 +0000, 662, 3322
2025-03-20 11:24:03 +0000, 647, 3984
2025-03-20 11:24:04 +0000, 662, 4631
2025-03-20 11:24:05 +0000, 677, 5293
2025-03-20 11:24:05 +0000, 636, 5970
2025-03-20 11:24:06 +0000, 603, 6606
2025-03-20 11:24:07 +0000, 622, 7209
2025-03-20 11:24:07 +0000, 643, 7831
2025-03-20 11:24:08 +0000, 636, 8474
2025-03-20 11:24:09 +0000, 653, 9110
2025-03-20 11:24:09 +0000, 673, 9763
2025-03-20 11:24:10 +0000, 654, 10436
2025-03-20 11:24:11 +0000, 651, 11090
2025-03-20 11:24:11 +0000, 671, 11741
2025-03-20 11:24:12 +0000, 697, 12412
2025-03-20 11:24:13 +0000, 1200, 13109
2025-03-20 11:24:14 +0000, 655, 14309
2025-03-20 11:24:14 +0000, 655, 14964
2025-03-20 11:24:15 +0000, 664, 15619
2025-03-20 11:24:16 +0000, 640, 16283
2025-03-20 11:24:16 +0000, 643, 16923
2025-03-20 11:24:17 +0000, 619, 17566
2025-03-20 11:24:18 +0000, 649, 18185
2025-03-20 11:24:18 +0000, 645, 18834
2025-03-20 11:24:19 +0000, 642, 19479
2025-03-20 11:24:20 +0000, 673, 20121
2025-03-20 11:24:20 +0000, 687, 20794
2025-03-20 11:24:21 +0000, 689, 21481
2025-03-20 11:24:22 +0000, 669, 22170
2025-03-20 11:24:22 +0000, 648, 22839
2025-03-20 11:24:23 +0000, 678, 23487
2025-03-20 11:24:24 +0000, 651, 24165
2025-03-20 11:24:24 +0000, 680, 24816
2025-03-20 11:24:25 +0000, 662, 25496
2025-03-20 11:24:26 +0000, 641, 26158
2025-03-20 11:24:26 +0000, 665, 26799
2025-03-20 11:24:27 +0000, 646, 27464
2025-03-20 11:24:28 +0000, 674, 28110
2025-03-20 11:24:28 +0000, 650, 28784
2025-03-20 11:24:29 +0000, 645, 29434
2025-03-20 11:24:30 +0000, 671, 30079
2025-03-20 11:24:30 +0000, 663, 30750
2025-03-20 11:24:31 +0000, 644, 31413
2025-03-20 11:24:32 +0000, 663, 32057
2025-03-20 11:24:32 +0000, 699, 32720
2025-03-20 11:24:33 +0000, 666, 33419
2025-03-20 11:24:34 +0000, 670, 34085
2025-03-20 11:24:34 +0000, 669, 34755
2025-03-20 11:24:35 +0000, 671, 35424
2025-03-20 11:24:36 +0000, 668, 36095
2025-03-20 11:24:36 +0000, 659, 36763
2025-03-20 11:24:37 +0000, 665, 37422
2025-03-20 11:24:38 +0000, 641, 38087
2025-03-20 11:24:38 +0000, 607, 38728
2025-03-20 11:24:39 +0000, 665, 39335
2025-03-20 11:24:40 +0000, 643, 40000
2025-03-20 11:24:40 +0000, 684, 40643
2025-03-20 11:24:41 +0000, 675, 41327
2025-03-20 11:24:42 +0000, 686, 42002
2025-03-20 11:24:42 +0000, 670, 42688
2025-03-20 11:24:43 +0000, 690, 43358
2025-03-20 11:24:44 +0000, 685, 44048
2025-03-20 11:24:44 +0000, 679, 44733
2025-03-20 11:24:45 +0000, 661, 45412
2025-03-20 11:24:46 +0000, 651, 46073
2025-03-20 11:24:46 +0000, 633, 46724
2025-03-20 11:24:47 +0000, 616, 47357
2025-03-20 11:24:47 +0000, 636, 47973
2025-03-20 11:24:48 +0000, 652, 48609
2025-03-20 11:24:49 +0000, 659, 49261
2025-03-20 11:24:49 +0000, 664, 49920
2025-03-20 11:24:50 +0000, 662, 50584
2025-03-20 11:24:51 +0000, 689, 51246
2025-03-20 11:24:51 +0000, 690, 51935
2025-03-20 11:24:52 +0000, 709, 52625
2025-03-20 11:24:53 +0000, 697, 53334
2025-03-20 11:24:54 +0000, 690, 54031
2025-03-20 11:24:54 +0000, 658, 54721
2025-03-20 11:24:55 +0000, 680, 55379
2025-03-20 11:24:56 +0000, 669, 56059
2025-03-20 11:24:56 +0000, 782, 56728
